Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,405463417,487602458,596423607,695304363,764887117,872138715,958463184,1082979721,1245688268,1320474860,1379960894,1531944134,1665100559,1722798883,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,null,null
Africa Eastern and Southern,AFE,19313106302,19723488057,21493920015,25733212134,23527443251,26810567154,29152157362,30173172663,32877055829,37744346869,40315782854,44476662703,48301485014,62983498805,78250886611,83435565923,83210426602,94988948105,106000000000,124000000000,157000000000,160000000000,155000000000,160000000000,146000000000,130000000000,147000000000,180000000000,189000000000,195000000000,212000000000,221000000000,220000000000,234000000000,239000000000,270000000000,268000000000,282000000000,266000000000,262000000000,284000000000,259000000000,265000000000,353000000000,439000000000,512000000000,576000000000,661000000000,708000000000,713000000000,847000000000,943000000000,951000000000,964000000000,985000000000,920000000000,873000000000,985000000000,1010000000000,1010000000000,921000000000
Afghanistan,AFG,537777811,548888896,546666678,751111191,800000044,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109305183,12416161049,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326
Africa Western and Central,AFW,10404280784,11128050589,11943353288,12676515454,13838577015,14862472886,15832846881,14426432397,14880350847,16882094303,23504608015,20832819361,25264956496,31273822294,44214489606,51444737234,62129396933,65315014927,71199715512,88628410997,112000000000,211000000000,187000000000,138000000000,114000000000,117000000000,107000000000,110000000000,109000000000,102000000000,122000000000,117000000000,118000000000,98826405551,86281770253,108000000000,126000000000,127000000000,130000000000,138000000000,140000000000,148000000000,177000000000,205000000000,254000000000,311000000000,393000000000,462000000000,566000000000,507000000000,592000000000,671000000000,728000000000,821000000000,865000000000,761000000000,691000000000,684000000000,742000000000,795000000000,785000000000
Angola,AGO,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5934073604,5553824464,5553824464,5787823809,6135166254,7558613008,7076793823,8089279285,8775116269,10207922517,11236275843,null,null,null,3390500000,5561222222,7526963964,7649716157,6506619145,6152936539,9129634978,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,112000000000,128000000000,137000000000,146000000000,116000000000,101000000000,122000000000,101000000000,89417190341,58375976293
Albania,ALB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174991,1185315468,1880951520,2392764853,3199641336,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15400242875,14887629268
Andorra,AND,null,null,null,null,null,null,null,null,null,null,78619206,89409820,113408232,150820103,186558696,220127246,227281025,254020153,308008898,411578334,446416106,388958731,375895956,327861833,330070689,346737965,482000594,611316399,721425939,795449332,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488,null
Arab World,ARB,null,null,null,null,null,null,null,null,35087069740,38236378393,43232801790,49937328261,59495475636,75474648839,143000000000,158000000000,197000000000,227000000000,250000000000,339000000000,459000000000,475000000000,446000000000,419000000000,426000000000,425000000000,414000000000,450000000000,427000000000,450000000000,623000000000,439000000000,474000000000,483000000000,508000000000,556000000000,614000000000,662000000000,645000000000,713000000000,816000000000,799000000000,803000000000,888000000000,1060000000000,1300000000000,1530000000000,1790000000000,2250000000000,1970000000000,2310000000000,2500000000000,2740000000000,2800000000000,2830000000000,2460000000000,2410000000000,2470000000000,2730000000000,2780000000000,2450000000000
United Arab Emirates,ARE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104000000000,103000000000,110000000000,124000000000,148000000000,181000000000,222000000000,258000000000,315000000000,254000000000,290000000000,351000000000,375000000000,390000000000,403000000000,358000000000,357000000000,386000000000,422000000000,417000000000,359000000000
Argentina,ARG,null,null,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,104000000000,79092001998,88416668900,111000000000,111000000000,126000000000,76636898036,141000000000,190000000000,229000000000,237000000000,257000000000,258000000000,272000000000,293000000000,299000000000,284000000000,284000000000,269000000000,97724004252,128000000000,165000000000,199000000000,233000000000,288000000000,362000000000,333000000000,424000000000,530000000000,546000000000,552000000000,526000000000,595000000000,558000000000,644000000000,525000000000,452000000000,389000000000
