Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6472.40,7885.16,9765.91,11392.27,12306.72,13495.79,14045.47,14938.68,16239.99,16439.36,16583.88,17927.96,19077.69,19355.33,20617.75,20670.37,20436.89,20833.98,22568.37,23300.74,24046.23,25834.11,27083.63,24631.18,23513.53,24985.01,24712.49,26441.62,26893.01,28396.91,28452.17,29350.81,30253.28,null,null
Africa Eastern and Southern,AFE,147.61,147.01,156.19,182.24,162.35,180.21,190.85,192.34,204.01,227.91,236.79,254.01,268.13,339.76,410.12,424.80,411.51,456.25,496.09,564.00,688.56,685.21,641.78,643.80,571.45,495.66,542.43,643.80,657.35,657.19,696.99,704.43,683.34,706.49,702.42,771.41,747.84,765.97,703.09,675.80,713.25,633.61,631.87,819.74,993.76,1129.81,1237.11,1382.87,1442.17,1412.11,1634.45,1770.74,1736.17,1713.90,1703.60,1549.04,1431.78,1573.06,1574.98,1530.06,1359.62
Afghanistan,AFG,59.77,59.86,58.46,78.71,82.10,101.11,137.59,160.90,129.11,129.33,156.52,159.57,135.32,143.14,173.65,186.51,197.45,224.23,247.35,275.74,272.66,264.11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,179.43,190.68,211.38,242.03,263.73,359.69,364.66,437.27,543.31,591.19,638.85,624.32,614.22,556.01,512.01,516.68,485.67,494.18,516.75
Africa Western and Central,AFW,107.93,113.08,118.83,123.44,131.85,138.53,144.33,128.58,129.64,143.72,195.43,169.12,200.17,241.71,333.19,377.79,444.37,454.79,482.48,584.37,718.69,1316.93,1136.46,815.90,656.71,651.51,584.91,584.12,561.36,510.42,594.73,558.44,547.66,445.66,378.94,462.86,523.76,515.23,513.64,528.58,525.45,539.34,627.77,706.96,854.51,1016.48,1252.60,1430.80,1707.27,1486.57,1687.55,1862.31,1965.12,2157.48,2212.85,1894.31,1673.84,1613.47,1704.14,1777.92,1710.07
Angola,AGO,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,711.41,642.77,620.33,623.82,638.10,758.75,685.73,756.77,792.83,891.15,948.34,null,null,null,251.08,398.79,522.68,514.39,423.62,387.79,556.84,527.33,872.49,982.96,1255.56,1902.42,2599.57,3122.00,4080.94,3122.78,3587.88,4615.47,5100.10,5254.88,5408.41,4166.98,3506.07,4095.81,3289.64,2809.63,1776.17
Albania,ALB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,639.48,639.87,693.87,674.79,652.77,698.00,617.23,336.59,200.85,367.28,586.42,750.60,1009.98,717.38,813.79,1033.24,1126.68,1281.66,1425.12,1846.12,2373.58,2673.79,2972.74,3595.04,4370.54,4114.13,4094.35,4437.14,4247.63,4413.06,4578.63,3952.80,4124.06,4531.02,5287.66,5395.66,5246.29
Andorra,AND,null,null,null,null,null,null,null,null,null,null,3238.69,3496.53,4218.27,5342.17,6320.81,7169.10,7151.25,7751.84,9127.81,11818.47,12378.78,10372.79,9610.02,8025.21,7728.91,7775.61,10361.15,12615.13,14304.64,15165.28,18878.85,19534.26,20549.81,16515.66,16235.07,18458.17,19016.29,18355.63,18895.11,19262.31,21854.25,22970.51,25067.24,32272.85,37966.19,40064.22,42674.76,47804.85,48719.66,43504.22,40850.25,43334.81,38686.46,39540.72,41303.93,35770.78,37475.64,38964.90,41791.97,40897.33,null
Arab World,ARB,null,null,null,null,null,null,null,null,304.74,322.84,354.99,398.97,462.64,571.08,1052.50,1129.76,1363.33,1524.61,1619.54,2130.88,2792.09,2798.62,2547.47,2322.67,2289.37,2217.23,2097.21,2216.36,2043.26,2096.30,2796.70,1918.35,2033.96,2017.94,2068.78,2196.98,2371.45,2501.05,2381.99,2579.12,2890.23,2768.50,2725.61,2948.63,3430.98,4120.84,4754.77,5418.13,6661.48,5695.89,6512.54,6888.98,7378.23,7373.20,7300.03,6220.72,5969.62,5987.34,6504.15,6489.04,5612.69
United Arab Emirates,ARE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26848.09,30117.95,33823.18,28457.08,33512.63,42764.54,44987.54,40025.82,34843.16,32309.83,29720.90,23467.88,23726.31,22295.12,24028.26,27729.39,26612.25,26420.86,25596.74,25848.02,27221.93,28975.08,29512.67,26899.60,28470.89,33291.37,31280.76,31567.55,33499.10,36333.19,39365.46,41907.42,41809.46,44498.94,32024.20,33893.26,39194.67,40976.49,42412.64,43751.81,38663.40,38141.87,40644.79,43839.32,42701.44,36284.56
Argentina,ARG,null,null,1155.89,850.30,1173.24,1279.11,1272.80,1062.54,1141.08,1329.06,1322.59,1372.37,1408.87,2097.02,2844.86,2027.34,1948.22,2129.71,2146.36,2520.92,2758.83,2776.32,2927.90,3553.38,2659.71,2926.13,3613.62,3562.88,3985.19,2383.87,4333.48,5735.36,6823.54,6969.12,7483.14,7408.71,7721.35,8213.13,8289.51,7774.74,7708.10,7208.37,2593.40,3349.81,4277.72,5109.85,5919.01,7245.45,9020.87,8225.14,10385.96,12848.86,13082.66,13080.25,12334.80,13789.06,12790.24,14613.04,11795.16,10056.64,8579.02
